model_name,model_type,child_name,speaker,tpr_overall,tpr_the,tpr_a,n_total,n_previous_a,n_previous_the
babyllama-100m-2024,ar,Dominic,mother,0.2578722692524769,0.265644962568961,0.23000432004459517,188,147,41
babyllama-100m-2024,ar,Becky,mother,0.18623487300260938,0.19365905086291402,0.17190263659849186,548,361,187
babyllama-100m-2024,ar,Becky,child,0.22349625910354892,0.16867768047928255,0.2977665914332001,438,252,186
babyllama-100m-2024,ar,Liz,mother,0.1849872477198334,0.19797761481130552,0.15910133373463708,410,273,137
babyllama-100m-2024,ar,Liz,child,0.20011658690137782,0.17076451464799214,0.24094607202307453,373,217,156
babyllama-100m-2024,ar,Carl,mother,0.1982780884389105,0.23446121365378114,0.16951250389308836,1077,477,600
babyllama-100m-2024,ar,Carl,child,0.29089081571298014,0.2986462880214024,0.28447464183532956,910,412,498
babyllama-100m-2024,ar,Joel,child,0.18201277633398175,0.14453814183003846,0.2240516291428925,331,175,156
babyllama-100m-2024,ar,Joel,mother,0.14263616752468827,0.15498354059824898,0.12266247578804594,445,275,170
babyllama-100m-2024,ar,Ruth,mother,0.15890209098630345,0.16445810281965306,0.15185544183181124,372,208,164
babyllama-100m-2024,ar,Ruth,child,0.303523377313999,0.21784587799885874,0.3815720581969691,279,133,146
babyllama-100m-2024,ar,Aran,mother,0.17666067573330038,0.24355751812344606,0.11824207899329466,1079,503,576
babyllama-100m-2024,ar,Aran,child,0.3100738452604982,0.28870065786843685,0.3223110427477176,802,292,510
babyllama-100m-2024,ar,Anne,mother,0.14578794634833425,0.20543113877519587,0.08915346095784252,657,320,337
babyllama-100m-2024,ar,Anne,child,0.2068476560441785,0.16675551093963142,0.23860523334921405,500,221,279
babyllama-100m-2024,ar,John,mother,0.2615224176486104,0.3572593357746095,0.176766077945665,526,247,279
babyllama-100m-2024,ar,John,child,0.34336025069462955,0.2964469716567889,0.37244005722151025,473,181,292
babyllama-100m-2024,ar,Nicole,mother,0.1794913509002757,0.19746012564284332,0.1200561729056291,280,215,65
babyllama-100m-2024,ar,Nicole,child,0.2374817756957761,0.14746088445163225,0.366886806859233,234,138,96
babyllama-100m-2024,ar,Warren,mother,0.25843938536235644,0.36315496536068187,0.1514815017238098,944,477,467
babyllama-100m-2024,ar,Warren,child,0.27362023702450405,0.27824492005027956,0.27078400563760274,826,314,512
babyllama-10m-2024,ar,Gail,mother,0.19859789855570095,0.2313353374325167,0.13579546479201357,286,188,98
babyllama-10m-2024,ar,Gail,child,0.2515380270663989,0.1945684976059398,0.3317854287795186,224,131,93
babyllama-10m-2024,ar,Dominic,child,0.25901008597610425,0.2129893967976086,0.3543386564172738,172,116,56
babyllama-10m-2024,ar,Dominic,mother,0.2544515322136676,0.27084121285072643,0.19568853090518865,188,147,41
babyllama-10m-2024,ar,Becky,mother,0.18438638793282594,0.200373418789319,0.15352372408686885,548,361,187
babyllama-10m-2024,ar,Becky,child,0.21864174964668154,0.17560312246762597,0.2769521477602407,438,252,186
babyllama-10m-2024,ar,Liz,mother,0.1771338214294336,0.1938274839138469,0.14386834801158802,410,273,137
babyllama-10m-2024,ar,Liz,child,0.207979104354993,0.1912923549946856,0.23119080058054875,373,217,156
babyllama-10m-2024,ar,Carl,mother,0.18920723724070448,0.22256700529952603,0.16268622163394136,1077,477,600
babyllama-10m-2024,ar,Carl,child,0.2943996551344902,0.30183108759047605,0.2882515624198994,910,412,498
babyllama-10m-2024,ar,Joel,child,0.1868572835525317,0.1587436220022298,0.21839504490703704,331,175,156
babyllama-10m-2024,ar,Joel,mother,0.14116957846346379,0.15335284774740182,0.12146134873944632,445,275,170
babyllama-10m-2024,ar,Ruth,mother,0.15593911862558615,0.16682114742636292,0.14213752112216196,372,208,164
babyllama-10m-2024,ar,Ruth,child,0.30546215964847334,0.2582049770277283,0.3485115109399739,279,133,146
babyllama-10m-2024,ar,Aran,mother,0.17497370874521015,0.24717090988906873,0.1119265001074309,1079,503,576
babyllama-10m-2024,ar,Aran,child,0.3018076866749546,0.31908984025920645,0.2919128065835791,802,292,510
babyllama-10m-2024,ar,Anne,mother,0.1486096727868345,0.2151705898524622,0.08540642809543732,657,320,337
babyllama-10m-2024,ar,Anne,child,0.2091574943452222,0.17249895830616221,0.238195259451431,500,221,279
babyllama-10m-2024,ar,John,mother,0.260741796246128,0.3813532594251996,0.15396390590479933,526,247,279
babyllama-10m-2024,ar,John,child,0.34293635912388026,0.30954431667581567,0.36363485118929006,473,181,292
babyllama-10m-2024,ar,Nicole,mother,0.19223564816528949,0.21275138173620595,0.12437591404610428,280,215,65
babyllama-10m-2024,ar,Nicole,child,0.23397125191627985,0.16609610405813025,0.3315417769623698,234,138,96
babyllama-10m-2024,ar,Warren,mother,0.2555181292711035,0.3680191421044103,0.14060810117370018,944,477,467
babyllama-10m-2024,ar,Warren,child,0.2682918867064738,0.2751614169189232,0.26407893263087007,826,314,512
babylm-baseline-100m-gpt-bert-causal-focus,ar,Gail,mother,0.20392307894148096,0.22643423567764484,0.16073841091700336,286,188,98
babylm-baseline-100m-gpt-bert-causal-focus,ar,Gail,child,0.24044544688075048,0.19171875770551514,0.30908196604156596,224,131,93
babylm-baseline-100m-gpt-bert-causal-focus,ar,Dominic,child,0.25473584841008295,0.18323242737747678,0.4028500776919101,172,116,56
babylm-baseline-100m-gpt-bert-causal-focus,ar,Dominic,mother,0.2599388438037792,0.263596803843109,0.2468237187847185,188,147,41
babylm-baseline-100m-gpt-bert-causal-focus,ar,Becky,mother,0.19656690167554464,0.20756925935986165,0.17532705609245147,548,361,187
babylm-baseline-100m-gpt-bert-causal-focus,ar,Becky,child,0.21193248785740054,0.1689383779875324,0.27018257219722186,438,252,186
babylm-baseline-100m-gpt-bert-causal-focus,ar,Liz,mother,0.1861795616105034,0.19920144655158883,0.1602308419833769,410,273,137
babylm-baseline-100m-gpt-bert-causal-focus,ar,Liz,child,0.18843658737732596,0.1495309839270379,0.24255527935625226,373,217,156
babylm-baseline-100m-gpt-bert-causal-focus,ar,Carl,mother,0.2072048439606401,0.2511659124161679,0.17225579453849543,1077,477,600
babylm-baseline-100m-gpt-bert-causal-focus,ar,Carl,child,0.28253877357757035,0.34501731016402143,0.23084970314861886,910,412,498
babylm-baseline-100m-gpt-bert-causal-focus,ar,Joel,child,0.1759600226339468,0.15017493267355975,0.20488560432027844,331,175,156
babylm-baseline-100m-gpt-bert-causal-focus,ar,Joel,mother,0.14141128570433834,0.15214248845611866,0.1240519871352819,445,275,170
babylm-baseline-100m-gpt-bert-causal-focus,ar,Ruth,mother,0.16111271076091294,0.17319100934100806,0.14579389304957271,372,208,164
babylm-baseline-100m-gpt-bert-causal-focus,ar,Ruth,child,0.29378991181042297,0.2388473146870575,0.3438403598748587,279,133,146
babylm-baseline-100m-gpt-bert-causal-focus,ar,Aran,mother,0.17735418844483897,0.2452534470789663,0.11806021779732839,1079,503,576
