model_name,model_short,model_type,n_model_dyads,mean_model_tpr,sd_model_tpr,n_paired_child_dyads,n_paired_mother_dyads,mean_other_adult_tpr,other_adult_population_mean,onesample_t,p_1sample,welch_t,p_welch_vs_adults,paired_vs_child_t,p_paired_child,paired_vs_mother_t,p_paired_mother
gpt-bert-babylm-base,gpt-bert-babylm-base,mlm,12,0.4413035742092753,0.08121733284054887,12,12,0.23076961559463016,0.2154798761609907,9.63188779766086,1.0740394717543268e-06,7.685004938619449,3.267066914628972e-07,11.194044339727352,2.3690960244603218e-07,9.550429532325333,1.1683927193256775e-06
gpt-bert-babylm-small,gpt-bert-babylm-small,mlm,12,0.4312445304152604,0.08706314752396228,12,12,0.23076961559463016,0.2154798761609907,8.584926097303574,3.3189280187713517e-06,6.9481830036188965,1.7888740792622529e-06,10.132394719578295,6.481468682728152e-07,8.758834594925359,2.7320808176176618e-06
gpt2,gpt2,ar,12,0.2518603214241117,0.042273136832446434,12,12,0.23076961559463016,0.2154798761609907,2.98122090383125,0.012492215314929679,1.1277655284994603,0.26935515122754716,6.223044427265166,6.50172338654939e-05,5.2074087923787165,0.0002911208765827501
ltg-bert-babylm,ltg-bert-babylm,mlm,12,0.31424166074596754,0.0589519758051192,12,12,0.23076961559463016,0.2154798761609907,5.803382377304421,0.00011870073950792457,3.7692193717804585,0.0009572028178840026,8.268921168526854,4.763615958653071e-06,6.1746959649014785,6.960066941101098e-05
ltg-bert-bnc,ltg-bert-bnc,mlm,12,0.22502293015649308,0.04792251837904179,12,12,0.23076961559463016,0.2154798761609907,0.6898241135345685,0.504597856395906,-0.2901767269403868,0.7739573208505738,-0.1789911630300716,0.8611988466217952,2.1035249993180294,0.05923763336483473
ltgbert-100m-2024,ltgbert-100m-2024,mlm,12,0.3076471234935077,0.057065797000967665,12,12,0.23076961559463016,0.2154798761609907,5.594887430415789,0.0001615399344764358,3.5378370749413364,0.0016629053940787277,8.959342846096012,2.1910584441604434e-06,6.881558545773467,2.651255351049948e-05
ltgbert-10m-2024,ltgbert-10m-2024,mlm,12,0.43292838105880915,0.058931615013284096,12,12,0.23076961559463016,0.2154798761609907,12.781996842544117,6.063819297059634e-08,9.130435984950013,3.1404626398402283e-09,15.721100213671185,6.945469014709636e-09,13.543717801846368,3.322633811032423e-08
opt-125m,opt-125m,ar,12,0.25068294079244563,0.04394087428340497,12,12,0.23076961559463016,0.2154798761609907,2.775251859148309,0.018056596797032205,1.0470242737379245,0.3044247157230056,5.092671589481147,0.0003480116431214553,4.5736937373274165,0.0007985363997603693
opt-125m-strict-2023,opt-125m-strict-2023,ar,12,0.4297585017236676,0.06773353063768194,12,12,0.23076961559463016,0.2154798761609907,10.958869645696808,2.939708656553637e-07,8.240284601024314,4.2640126569940753e-08,7.386126871499899,1.3838113625922e-05,10.58155804888949,4.190646008511953e-07
opt-125m-strict-small-2023,opt-125m-strict-small-2023,ar,12,0.36760761120011093,0.030163460199893362,12,12,0.23076961559463016,0.2154798761609907,17.471003961877287,2.2671245425970074e-09,8.22713459106994,1.3433502142611134e-08,15.18403663451268,1.0023000089701022e-08,15.154353028715425,1.0231801861427491e-08
