K,children_perdyad_TPR,other_adult_pooled_TPR,other_adult_n
86,0.18631292264196594,0.18657565415244595,879
87,0.18675913490341897,0.18657565415244595,879
88,0.18716479753590032,0.18615209988649262,881
89,0.18744680519127535,0.1857304643261608,883
90,0.18775125867255205,0.18623024830699775,886
91,0.18861751063351792,0.1871476888387824,887
92,0.19020717670965168,0.18785151856017998,889
93,0.19047828958507398,0.18834080717488788,892
94,0.1904522166145111,0.1881298992161254,893
95,0.19097030304080573,0.1888268156424581,895
96,0.1907225561755718,0.18973214285714285,896
97,0.1907910754883568,0.19089900110987792,901
98,0.19053381306645278,0.19089900110987792,901
99,0.190704735731418,0.19047619047619047,903
100,0.19194573289963923,0.19116022099447513,905
101,0.19182862387808078,0.19073869900771775,907
102,0.19232000381372258,0.1912087912087912,910
103,0.19248816370159996,0.19078947368421054,912
104,0.19303395455986205,0.19058050383351588,913
105,0.19363976935671925,0.19323144104803494,916
106,0.19333610572323776,0.193020719738277,917
107,0.1937250640535675,0.1926006528835691,919
108,0.19427809752301536,0.1926006528835691,919
109,0.19439426561465298,0.19326818675352878,921
110,0.1944235024950276,0.19326818675352878,921
111,0.19453105749396293,0.19326818675352878,921
112,0.19457629191343231,0.19326818675352878,921
113,0.1949511829610414,0.19305856832971802,922
114,0.1950791762434081,0.19393282773564463,923
115,0.19481900271762312,0.1945945945945946,925
116,0.1949525059890628,0.19546436285097193,926
117,0.19483453830178607,0.19525350593311758,927
118,0.19508024020405354,0.19483315392895587,929
119,0.19570682507030468,0.19548872180451127,931
120,0.1962424430379056,0.1946524064171123,935
121,0.19692849256836717,0.19530416221985059,937
122,0.19723097587290306,0.19530416221985059,937
123,0.19748646433029493,0.19616204690831557,938
124,0.19738579318935534,0.19701810436634717,939
125,0.19713474160518282,0.19576719576719576,945
126,0.19808194659606418,0.19661733615221988,946
127,0.19792947133768904,0.19661733615221988,946
128,0.1977094358025536,0.19599578503688092,949
129,0.1978325343192224,0.19599578503688092,949
130,0.19768304866828756,0.1957894736842105,950
131,0.19761928813941076,0.1957894736842105,950
132,0.19788928310399442,0.19747899159663865,952
133,0.19794943373367543,0.1968586387434555,955
134,0.19803150943169978,0.1968586387434555,955
135,0.19853368847117356,0.19769874476987448,956
136,0.19830299629852396,0.1981230448383733,959
137,0.1994892412346445,0.19771071800208118,961
138,0.19979286611484426,0.19771071800208118,961
139,0.19962330794586233,0.19833852544132918,963
140,0.1995962509817323,0.19896373056994818,965
141,0.20016858708537186,0.2002063983488132,969
142,0.2004322356649699,0.2002063983488132,969
143,0.2006138885132607,0.19938335046248715,973
144,0.20100538495465212,0.19979508196721313,976
145,0.20097486384689653,0.20040899795501022,978
146,0.20094787426487523,0.20020429009193055,979
147,0.20108083962449916,0.20162932790224034,982
148,0.20104405794532668,0.2020304568527919,985
149,0.20104405794532668,0.2016210739614995,987
150,0.20153446377582873,0.20242914979757085,988
151,0.2014665234995431,0.20242914979757085,988
152,0.20160539419604437,0.20242914979757085,988
153,0.2015456916553003,0.20222446916076844,989
154,0.20127022189313645,0.20161290322580644,992
155,0.20147656461222732,0.20161290322580644,992
156,0.2021426810883009,0.2014098690835851,993
157,0.20186193997209226,0.2012072434607646,994
158,0.20183090965264924,0.20060180541624875,997
159,0.2019417085275765,0.20140280561122245,998
160,0.2019337840647073,0.2022022022022022,999
161,0.20286367334546326,0.202,1000
162,0.2031150141569171,0.2017982017982018,1001
163,0.2031150141569171,0.20159680638722555,1002
164,0.20343066996515766,0.20159680638722555,1002
165,0.20341078322323006,0.20119521912350596,1004
166,0.20308421161622572,0.2019900497512438,1005
167,0.20317195399061463,0.20238095238095238,1008
168,0.20304547534333015,0.20238095238095238,1008
169,0.20294373689316478,0.20297029702970298,1010
170,0.2029145621394611,0.20276953511374876,1011
171,0.20294683053911647,0.20216962524654833,1014
172,0.2029160783271077,0.20216962524654833,1014
173,0.2032675729647634,0.2019704433497537,1015
174,0.203406448070702,0.2015732546705998,1017
175,0.20335550937961325,0.20098039215686275,1020
176,0.2029368754568078,0.20098039215686275,1020
